Order ID,Order Date,Sales,Quantity,Discount,Profit
CA-2016-152156,2016-11-08,261.96,2,0.0,41.9136
CA-2016-152156,2016-11-08,731.94,3,0.0,219.582
CA-2016-138688,2016-06-12,14.62,2,0.0,6.8714
US-2015-108966,2015-10-11,957.5775,5,0.45,-383.031
US-2015-108966,2015-10-11,22.368,2,0.2,2.5164
CA-2014-115812,2014-06-09,48.86,7,0.0,14.1694
CA-2014-115812,2014-06-09,7.28,4,0.0,1.9656
CA-2014-115812,2014-06-09,907.152,6,0.2,90.7152
CA-2014-115812,2014-06-09,18.504,3,0.2,5.7825
CA-2014-115812,2014-06-09,114.9,5,0.0,34.47
CA-2014-115812,2014-06-09,1706.184,9,0.2,85.3092
CA-2014-115812,2014-06-09,911.424,4,0.2,68.3568
CA-2017-114412,2017-04-15,15.552,3,0.2,5.4432
CA-2016-161389,2016-12-05,407.976,3,0.2,132.5922
US-2015-118983,2015-11-22,68.81,5,0.8,-123.858
US-2015-118983,2015-11-22,2.544,3,0.8,-3.816
CA-2014-105893,2014-11-11,665.88,6,0.0,13.3176
CA-2014-167164,2014-05-13,55.5,2,0.0,9.99
CA-2014-143336,2014-08-27,8.56,2,0.0,2.4824
CA-2014-143336,2014-08-27,213.48,3,0.2,16.011
CA-2014-143336,2014-08-27,22.72,4,0.2,7.384
CA-2016-137330,2016-12-09,19.46,7,0.0,5.0596
CA-2016-137330,2016-12-09,60.34,7,0.0,15.6884
US-2017-156909,2017-07-16,71.372,2,0.3,-1.0196
CA-2015-106320,2015-09-25,1044.63,3,0.0,240.2649
CA-2016-121755,2016-01-16,11.648,2,0.2,4.2224
CA-2016-121755,2016-01-16,90.57,3,0.0,11.7741
US-2015-150630,2015-09-17,3083.43,7,0.5,-1665.0522
US-2015-150630,2015-09-17,9.618,2,0.7,-7.0532
US-2015-150630,2015-09-17,124.2,3,0.2,15.525
US-2015-150630,2015-09-17,3.264,2,0.2,1.1016
US-2015-150630,2015-09-17,86.304,6,0.2,9.7092
US-2015-150630,2015-09-17,6.858,6,0.7,-5.715
US-2015-150630,2015-09-17,15.76,2,0.2,3.546
CA-2017-107727,2017-10-19,29.472,3,0.2,9.9468
CA-2016-117590,2016-12-08,1097.544,7,0.2,123.4737
CA-2016-117590,2016-12-08,190.92,5,0.6,-147.963
CA-2015-117415,2015-12-27,113.328,9,0.2,35.415
CA-2015-117415,2015-12-27,532.3992,3,0.32,-46.9764
CA-2015-117415,2015-12-27,212.058,3,0.3,-15.147
CA-2015-117415,2015-12-27,371.168,4,0.2,41.7564
CA-2017-120999,2017-09-10,147.168,4,0.2,16.5564
CA-2016-101343,2016-07-17,77.88,2,0.0,3.894
CA-2017-139619,2017-09-19,95.616,2,0.2,9.5616
CA-2016-118255,2016-03-11,45.98,2,0.0,19.7714
CA-2016-118255,2016-03-11,17.46,2,0.0,8.2062
CA-2014-146703,2014-10-20,211.96,4,0.0,8.4784
CA-2016-169194,2016-06-20,45.0,3,0.0,4.95
CA-2016-169194,2016-06-20,21.8,2,0.0,6.104
CA-2015-115742,2015-04-18,38.22,6,0.0,17.9634
CA-2015-115742,2015-04-18,75.18,6,0.0,35.3346
CA-2015-115742,2015-04-18,6.16,2,0.0,2.9568
CA-2015-115742,2015-04-18,89.99,1,0.0,17.0981
CA-2016-105816,2016-12-11,15.26,7,0.0,6.2566
CA-2016-105816,2016-12-11,1029.95,5,0.0,298.6855
CA-2016-111682,2016-06-17,208.56,6,0.0,52.14
CA-2016-111682,2016-06-17,32.4,5,0.0,15.552
CA-2016-111682,2016-06-17,319.41,5,0.1,7.098
CA-2016-111682,2016-06-17,14.56,2,0.0,6.9888
CA-2016-111682,2016-06-17,30.0,2,0.0,3.3
CA-2016-111682,2016-06-17,48.48,4,0.2,16.362
CA-2016-111682,2016-06-17,1.68,1,0.0,0.84
CA-2015-135545,2015-11-24,13.98,2,0.0,6.1512
CA-2015-135545,2015-11-24,25.824,6,0.2,9.3612
CA-2015-135545,2015-11-24,146.73,3,0.0,68.9631
CA-2015-135545,2015-11-24,79.76,4,0.0,22.3328
US-2015-164175,2015-04-30,213.115,5,0.3,-15.2225
CA-2014-106376,2014-12-05,1113.024,8,0.2,111.3024
CA-2014-106376,2014-12-05,167.968,4,0.2,62.988
CA-2016-119823,2016-06-04,75.88,2,0.0,35.6636
CA-2016-106075,2016-09-18,4.616,1,0.2,1.731
CA-2017-114440,2017-09-14,19.05,3,0.0,8.763
US-2015-134026,2015-04-26,831.936,8,0.2,-114.3912
US-2015-134026,2015-04-26,97.04,2,0.2,1.213
US-2015-134026,2015-04-26,72.784,1,0.2,-18.196
US-2017-118038,2017-12-09,1.248,3,0.8,-1.9344
US-2017-118038,2017-12-09,9.708,3,0.6,-5.8248
US-2017-118038,2017-12-09,27.24,3,0.2,2.724
US-2014-147606,2014-11-26,19.3,5,0.6,-14.475
CA-2016-127208,2016-06-12,208.16,1,0.0,56.2032
CA-2016-127208,2016-06-12,16.74,3,0.0,8.0352
CA-2014-139451,2014-10-12,14.9,5,0.0,4.172
CA-2014-139451,2014-10-12,21.39,1,0.0,6.2031
CA-2015-149734,2015-09-03,200.984,7,0.2,62.8075
US-2017-119662,2017-11-13,230.376,3,0.2,-48.9549
CA-2017-140088,2017-05-28,301.96,2,0.0,33.2156
CA-2017-155558,2017-10-26,19.99,1,0.0,6.7966
CA-2017-155558,2017-10-26,6.16,2,0.0,2.9568
CA-2016-159695,2016-04-05,158.368,7,0.2,13.8572
CA-2016-109806,2016-09-17,20.1,3,0.0,6.633
CA-2016-109806,2016-09-17,73.584,2,0.2,8.2782
CA-2016-109806,2016-09-17,6.48,1,0.0,3.1104
CA-2015-149587,2015-01-31,12.96,2,0.0,6.2208
CA-2015-149587,2015-01-31,53.34,3,0.0,16.5354
CA-2015-149587,2015-01-31,32.96,2,0.0,16.1504
US-2017-109484,2017-11-06,5.682,1,0.7,-3.788
CA-2017-161018,2017-11-09,96.53,7,0.0,40.5426
CA-2017-157833,2017-06-17,51.312,3,0.2,17.9592
CA-2016-149223,2016-09-06,77.88,6,0.0,22.5852
CA-2016-158568,2016-08-29,64.624,7,0.2,22.6184
CA-2016-158568,2016-08-29,95.976,3,0.2,-10.7973
CA-2016-158568,2016-08-29,1.788,3,0.8,-3.0396
CA-2016-129903,2016-12-01,23.92,4,0.0,11.7208
US-2015-156867,2015-11-13,238.896,6,0.2,-26.8758
US-2015-156867,2015-11-13,102.36,3,0.2,-3.8385
US-2015-156867,2015-11-13,36.882,3,0.7,-25.8174
CA-2017-119004,2017-11-23,74.112,8,0.2,17.6016
CA-2017-119004,2017-11-23,27.992,1,0.2,2.0994
CA-2017-119004,2017-11-23,3.304,1,0.2,1.0738
CA-2015-129476,2015-10-15,339.96,5,0.2,67.992
CA-2017-146780,2017-12-25,41.96,2,0.0,10.9096
CA-2016-128867,2016-11-03,75.96,2,0.0,22.788
CA-2016-128867,2016-11-03,27.24,6,0.0,13.3476
CA-2014-115259,2014-08-25,40.096,14,0.2,14.5348
CA-2014-115259,2014-08-25,4.72,2,0.2,1.652
CA-2014-115259,2014-08-25,23.976,3,0.2,7.4925
CA-2014-115259,2014-08-25,130.464,6,0.2,44.0316
CA-2015-110457,2015-03-02,787.53,3,0.0,165.3813
US-2015-136476,2015-04-05,157.794,1,0.7,-115.7156
CA-2016-103730,2016-06-12,47.04,3,0.0,18.3456
CA-2016-103730,2016-06-12,30.84,4,0.0,13.878
CA-2016-103730,2016-06-12,226.56,6,0.0,63.4368
CA-2016-103730,2016-06-12,115.02,9,0.0,51.759
CA-2016-103730,2016-06-12,68.04,7,0.0,19.7316
US-2014-152030,2014-12-26,600.558,3,0.3,-8.5794
US-2014-134614,2014-09-20,617.7,6,0.5,-407.682
US-2017-107272,2017-11-05,2.388,2,0.7,-1.8308
US-2017-107272,2017-11-05,243.992,7,0.2,30.499
US-2016-125969,2016-11-06,81.424,2,0.2,-9.1602
US-2016-125969,2016-11-06,238.56,3,0.0,26.2416
US-2017-164147,2017-02-02,59.97,5,0.4,-11.994
US-2017-164147,2017-02-02,78.304,2,0.2,29.364
US-2017-164147,2017-02-02,21.456,9,0.2,6.9732
CA-2016-145583,2016-10-13,20.04,3,0.0,9.6192
CA-2016-145583,2016-10-13,35.44,1,0.0,16.6568
CA-2016-145583,2016-10-13,11.52,4,0.0,3.456
CA-2016-145583,2016-10-13,4.02,2,0.0,1.9698
CA-2016-145583,2016-10-13,76.176,3,0.2,26.6616
CA-2016-145583,2016-10-13,65.88,6,0.0,18.4464
CA-2016-145583,2016-10-13,43.12,14,0.0,20.6976
CA-2016-110366,2016-09-05,82.8,2,0.2,10.35
CA-2017-106180,2017-09-18,8.82,3,0.0,2.3814
CA-2017-106180,2017-09-18,10.86,3,0.0,5.1042
CA-2017-106180,2017-09-18,143.7,3,0.0,68.976
CA-2017-155376,2017-12-22,839.43,3,0.0,218.2518
CA-2015-110744,2015-09-07,671.93,7,0.0,20.1579
CA-2014-110072,2014-10-22,93.888,4,0.2,12.9096
CA-2016-114489,2016-12-05,384.45,11,0.0,103.8015
CA-2016-114489,2016-12-05,149.97,3,0.0,5.9988
CA-2016-114489,2016-12-05,1951.84,8,0.0,585.552
CA-2016-114489,2016-12-05,171.55,5,0.0,80.6285
CA-2016-158834,2016-03-13,157.92,5,0.2,17.766
CA-2016-158834,2016-03-13,203.184,2,0.2,15.2388
CA-2015-124919,2015-05-31,58.38,7,0.0,26.271
CA-2015-124919,2015-05-31,105.52,4,0.0,48.5392
CA-2015-124919,2015-05-31,80.88,6,0.0,21.0288
CA-2015-118948,2015-05-28,6.63,3,0.0,1.7901
CA-2014-104269,2014-03-01,457.568,2,0.2,51.4764
CA-2016-114104,2016-11-20,14.62,2,0.0,6.8714
CA-2016-114104,2016-11-20,944.93,7,0.0,236.2325
CA-2016-162733,2016-05-11,5.98,1,0.0,2.691
CA-2015-119697,2015-12-28,54.384,2,0.2,1.3596
CA-2016-154508,2016-11-16,28.4,5,0.0,13.348
CA-2016-113817,2016-11-07,27.68,2,0.2,9.688
CA-2014-139892,2014-09-08,9.936,3,0.2,2.7324
CA-2014-139892,2014-09-08,8159.952,8,0.4,-1359.992
CA-2014-139892,2014-09-08,275.928,3,0.2,-58.6347
